source_id,official_file_title,source_url,official_source,license,license_url,access_date,sha256,scene_category,local_filename,redistribution_status,author,attribution,rights_notes,local_algorithm_smoke_only,expected_width,expected_height
cn-poster-01,File:2012大连冬聚海报.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ec/2012%E5%A4%A7%E8%BF%9E%E5%86%AC%E8%81%9A%E6%B5%B7%E6%8A%A5.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:2012%E5%A4%A7%E8%BF%9E%E5%86%AC%E8%81%9A%E6%B5%B7%E6%8A%A5.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-08-10,339f11df60790b397cd207cfca67071bacd205dcd5dcb8eecb06b3564a9112d9,chinese_text_poster,cn_poster_01_dalian_2012.jpg,allowed_with_attribution_and_share_alike,Ranyv (燃玉),Ranyv (燃玉) — 2012 Dalian winter meetup poster — CC BY-SA 3.0 — via Wikimedia Commons,Own-work poster; attribution and ShareAlike required; Wikimedia marks and names remain subject to their usage policies,true,2170,3072
cn-poster-02,File:Poster of the film Meng Lijun 1940 China.jpg,https://upload.wikimedia.org/wikipedia/commons/2/22/Poster_of_the_film_Meng_Lijun_1940_China.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Poster_of_the_film_Meng_Lijun_1940_China.jpg,Public domain,https://commons.wikimedia.org/wiki/File:Poster_of_the_film_Meng_Lijun_1940_China.jpg#Licensing,2026-08-10,b19171142914c79b6e6416715fd8d33fddc8bb65fb69eb9c06e2228a3938fbab,chinese_text_poster,cn_poster_02_meng_lijun_1940.jpg,public_domain,Guohua Film Company,Guohua Film Company — Meng Lijun film poster (1940) — Public domain — via Wikimedia Commons,PD-China and PD-1996/URAA-US evidence recorded on the official File page,true,310,450
single-01,File:Wristwatch.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Wristwatch.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Wristwatch.jpg,Public domain,https://commons.wikimedia.org/wiki/File:Wristwatch.jpg#Licensing,2026-08-10,369544d411ea7fbcaf07b481118bdd6bc23e50cfdfe83c6c4257dc72a226fb97,single_product_promo,single_01_wristwatch.jpg,public_domain,Mohylek,Mohylek — Wristwatch — Public domain — via Wikimedia Commons,Rights holder released the photograph into the public domain,true,1227,1059
single-02,File:Packshot - Tomme du Berry au pesto (24382897667).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Packshot_-_Tomme_du_Berry_au_pesto_%2824382897667%29.jpg/3840px-Packshot_-_Tomme_du_Berry_au_pesto_%2824382897667%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Packshot_-_Tomme_du_Berry_au_pesto_(24382897667).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-08-10,d4fe551f6525a7a4a95c70b58954f0b8699fe40cf1b47b7c681ac15764da7c9c,single_product_promo,single_02_tomme_packshot.jpg,allowed_with_attribution_and_share_alike,missbutterflies,missbutterflies — Packshot Tomme du Berry — CC BY-SA 2.0 — via Wikimedia Commons,Attribution and ShareAlike required; retargeted outputs are modifications,true,3840,2160
ecom-01,File:SPAR kolonial mat varehandel hyller (Supermarket interior GROCERY store aisle shelves) Frokostblandinger gryn müsli Axa frukt energi 4-korn blåbær (cereals muesli) etc Tjøme NORWAY 2023-08-31 IMG 1095.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/SPAR_kolonial_mat_varehandel_hyller_%28Supermarket_interior_GROCERY_store_aisle_shelves%29_Frokostblandinger_gryn_m%C3%BCsli_Axa_frukt_energi_4-korn_bl%C3%A5b%C3%A6r_%28cereals_muesli%29_etc_Tj%C3%B8me_NORWAY_2023-08-31_IMG_1095.jpg/3840px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:SPAR_kolonial_mat_varehandel_hyller_(Supermarket_interior_GROCERY_store_aisle_shelves)_Frokostblandinger_gryn_m%C3%BCsli_Axa_frukt_energi_4-korn_bl%C3%A5b%C3%A6r_(cereals_muesli)_etc_Tj%C3%B8me_NORWAY_2023-08-31_IMG_1095.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,c34a2d24839d414daef1457c01a6cbb8d5a450cabad43cc132e46e35e199c248,multi_product_commercial,ecom_01_spar_cereal_shelf.jpg,allowed_with_attribution_and_share_alike,Wolfmann,Wolfmann — SPAR grocery shelves — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant trademark or endorsement rights; local algorithm Smoke only,true,3840,2880
ecom-02,"File:Electronic shelf labels on spice products in Adcoops supermarket, United Arab Emirates.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Electronic_shelf_labels_on_spice_products_in_Adcoops_supermarket%2C_United_Arab_Emirates.jpg/3840px-Electronic_shelf_labels_on_spice_products_in_Adcoops_supermarket%2C_United_Arab_Emirates.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"https://commons.wikimedia.org/wiki/File:Electronic_shelf_labels_on_spice_products_in_Adcoops_supermarket,_United_Arab_Emirates.jpg",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-08-10,f3a5bb53bbf6711ac067c413f868ba663922d235e36020b3efaa1158b78b4602,multi_product_commercial,ecom_02_adcoops_spice_esl.jpg,allowed_with_attribution,Maheshod98,Maheshod98 — Electronic shelf labels on spice products — CC BY 4.0 — via Wikimedia Commons,Photography license does not grant trademark or endorsement rights; local algorithm Smoke only,true,3840,5120
people-01,File:People Walking on Torrance Beach.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/People_Walking_on_Torrance_Beach.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:People_Walking_on_Torrance_Beach.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,6ac5375f1e07a2562ccdeb299cc2c20325dfc303376af9cc5ceec3ea94104de7,multi_person,people_01_torrance_beach.jpg,allowed_with_attribution_and_share_alike,DylanMoz49,DylanMoz49 — People Walking on Torrance Beach — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant personality or endorsement rights; no identity inference,true,3449,2586
people-02,File:Group of people and children at a picnic (AM 86638-1).jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Group_of_people_and_children_at_a_picnic_%28AM_86638-1%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Group_of_people_and_children_at_a_picnic_(AM_86638-1).jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-08-10,d244891964b3aeb77ec1b35f0975cfa28e338e4f22bfb3b964d9cf34395c0e7c,multi_person,people_02_auckland_picnic_1938.jpg,allowed_with_attribution,Tudor Washington Collins,Auckland Museum — Tudor Washington Collins — Group at a picnic (1938) — CC BY 4.0 — via Wikimedia Commons,Photography license does not grant personality or endorsement rights; no identity inference,true,1275,950
portrait-01,File:Man classic portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Man_classic_portrait.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Man_classic_portrait.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,8dd89f566dc36185af8832194fb9311f8411434e37c075bf846e7dee33e5bec9,portrait,portrait_01_man_classic.jpg,allowed_with_attribution_and_share_alike,Viktoria Borodinova,Viktoria Borodinova — Man classic portrait — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant personality or endorsement rights; no identity inference,true,2327,3500
structure-01,File:Hussaini Suspension Bridge.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Hussaini_Suspension_Bridge.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,https://commons.wikimedia.org/wiki/File:Hussaini_Suspension_Bridge.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,5153334a94247c02ef385a657df26c8c1bd32406f5e275ad9c9d85985303319b,landscape_architecture,structure_01_hussaini_bridge.jpg,allowed_with_attribution_and_share_alike,Taseer Beyg,Taseer Beyg — Hussaini Suspension Bridge — CC BY-SA 4.0 — via Wikimedia Commons,Attribution and ShareAlike required; retargeted outputs are modifications,true,3240,4320
hard-01,File:Shibuya Crossing in Tokyo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Shibuya_Crossing_in_Tokyo.jpg/3840px-Shibuya_Crossing_in_Tokyo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Shibuya_Crossing_in_Tokyo.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,6f9df0a05aebb5e4418fc045c49125caa813cea34c5162a6053d3b3e4ba760c8,complex_mixed,hard_01_shibuya_crossing_night.jpg,allowed_with_attribution_and_share_alike,Christophe95,Christophe95 — Shibuya Crossing in Tokyo — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant trademark/personality/advertising rights; local algorithm Smoke only,true,3840,2881
hard-02,File:Krabi Walking Street.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Krabi_Walking_Street.jpg/3840px-Krabi_Walking_Street.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Krabi_Walking_Street.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,ec397409b954f591a81ebdf82ce0ba2ac5e415082e2fa7eea4ad10ecc477bc14,complex_mixed,hard_02_krabi_walking_street.jpg,allowed_with_attribution_and_share_alike,Christophe95,Christophe95 — Krabi Walking Street — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant trademark/personality/advertising rights; local algorithm Smoke only,true,3840,2880
