asset_id,analyzer_id,source_url,official_source,license,license_url,access_date,sha256,expected_bytes,local_filename,redistribution_status
yunet-face-2023mar,face_yunet,https://media.githubusercontent.com/media/opencv/opencv_zoo/47534e27c9851bb1128ccc0102f1145e27f23f98/models/face_detection_yunet/face_detection_yunet_2023mar.onnx,https://github.com/opencv/opencv_zoo/tree/47534e27c9851bb1128ccc0102f1145e27f23f98/models/face_detection_yunet,MIT,https://github.com/opencv/opencv_zoo/blob/47534e27c9851bb1128ccc0102f1145e27f23f98/models/face_detection_yunet/LICENSE,2026-08-10,8f2383e4dd3cfbb4553ea8718107fc0423210dc964f9f4280604804ed2552fa4,232589,face_detection_yunet_2023mar.onnx,allowed_with_notice
ppocr-text-det-cn-v3,text_ppocrv3,https://media.githubusercontent.com/media/opencv/opencv_zoo/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_detection_ppocr/text_detection_cn_ppocrv3_2023may.onnx,https://github.com/opencv/opencv_zoo/tree/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_detection_ppocr,Apache-2.0,https://github.com/opencv/opencv_zoo/blob/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_detection_ppocr/LICENSE,2026-08-10,03f550c6b406fda8bf54bd8327815f6c7e2edd98cea02348c93d879254366587,2423490,text_detection_cn_ppocrv3_2023may.onnx,allowed_with_notice
crnn-text-rec-cn-2021nov,text_crnn_cn,https://media.githubusercontent.com/media/opencv/opencv_zoo/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_recognition_crnn/text_recognition_CRNN_CN_2021nov.onnx,https://github.com/opencv/opencv_zoo/tree/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_recognition_crnn,Apache-2.0,https://github.com/opencv/opencv_zoo/blob/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_recognition_crnn/LICENSE,2026-08-10,c760bf82d684b87dfabb288e6c0f92d41a8cd6c1780661ca2c3cd10c2065a9ba,72807160,text_recognition_CRNN_CN_2021nov.onnx,allowed_with_notice
crnn-charset-source-2021nov,text_crnn_cn,https://raw.githubusercontent.com/opencv/opencv_zoo/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_recognition_crnn/crnn.py,https://github.com/opencv/opencv_zoo/tree/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_recognition_crnn,Apache-2.0,https://github.com/opencv/opencv_zoo/blob/47534e27c9851bb1128ccc0102f1145e27f23f98/models/text_recognition_crnn/LICENSE,2026-08-10,349e7262b1d1e87041d56cad30d062685acec5dce9e9f333f030bdc36d283004,19493,crnn.py,allowed_with_notice
yolox-object-2022nov,object_yolox,https://media.githubusercontent.com/media/opencv/opencv_zoo/47534e27c9851bb1128ccc0102f1145e27f23f98/models/object_detection_yolox/object_detection_yolox_2022nov.onnx,https://github.com/opencv/opencv_zoo/tree/47534e27c9851bb1128ccc0102f1145e27f23f98/models/object_detection_yolox,Apache-2.0,https://github.com/opencv/opencv_zoo/blob/47534e27c9851bb1128ccc0102f1145e27f23f98/models/object_detection_yolox/LICENSE,2026-08-10,c5c2d13e59ae883e6af3b45daea64af4833a4951c92d116ec270d9ddbe998063,35858002,object_detection_yolox_2022nov.onnx,allowed_with_notice
