source_id,official_file_title,source_url,official_source,license,license_url,access_date,sha256,scene_category,local_filename,redistribution_status,author,attribution,rights_notes,local_algorithm_smoke_only,expected_width,expected_height
cn-poster-01,File:2012大连冬聚海报.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/2012%E5%A4%A7%E8%BF%9E%E5%86%AC%E8%81%9A%E6%B5%B7%E6%8A%A5.jpg/960px-2012%E5%A4%A7%E8%BF%9E%E5%86%AC%E8%81%9A%E6%B5%B7%E6%8A%A5.jpg,https://commons.wikimedia.org/wiki/File:2012%E5%A4%A7%E8%BF%9E%E5%86%AC%E8%81%9A%E6%B5%B7%E6%8A%A5.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-08-10,aee3dd99c72e60af542580d44c4aba61f95818139d45d017aa6693927daf8f0b,chinese_text_poster,cn_poster_01_dalian_2012.jpg,allowed_with_attribution_and_share_alike,Ranyv (燃玉),Ranyv (燃玉) — 2012 Dalian winter meetup poster — CC BY-SA 3.0 — via Wikimedia Commons,Own-work poster; attribution and ShareAlike required; Wikimedia marks and names remain subject to their usage policies,true,960,1359
cn-poster-02,File:Poster of the film Meng Lijun 1940 China.jpg,https://upload.wikimedia.org/wikipedia/commons/2/22/Poster_of_the_film_Meng_Lijun_1940_China.jpg,https://commons.wikimedia.org/wiki/File:Poster_of_the_film_Meng_Lijun_1940_China.jpg,Public domain,https://commons.wikimedia.org/wiki/File:Poster_of_the_film_Meng_Lijun_1940_China.jpg#Licensing,2026-08-10,b19171142914c79b6e6416715fd8d33fddc8bb65fb69eb9c06e2228a3938fbab,chinese_text_poster,cn_poster_02_meng_lijun_1940.jpg,public_domain,Guohua Film Company,Guohua Film Company — Meng Lijun film poster (1940) — Public domain — via Wikimedia Commons,PD-China and PD-1996/URAA-US evidence recorded on the official File page,true,310,450
single-01,File:Wristwatch.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Wristwatch.jpg/960px-Wristwatch.jpg,https://commons.wikimedia.org/wiki/File:Wristwatch.jpg,Public domain,https://commons.wikimedia.org/wiki/File:Wristwatch.jpg#Licensing,2026-08-10,4578a0ac53f0f6e923adce606703e7a0aa150d19beb40c57e00be8f893585106,single_product_promo,single_01_wristwatch.jpg,public_domain,Mohylek,Mohylek — Wristwatch — Public domain — via Wikimedia Commons,Rights holder released the photograph into the public domain,true,960,829
single-02,File:Packshot - Tomme du Berry au pesto (24382897667).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Packshot_-_Tomme_du_Berry_au_pesto_%2824382897667%29.jpg/960px-Packshot_-_Tomme_du_Berry_au_pesto_%2824382897667%29.jpg,https://commons.wikimedia.org/wiki/File:Packshot_-_Tomme_du_Berry_au_pesto_(24382897667).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-08-10,7f278d3cd51f28e84e08896195c554485f22ba6b26dd86aef18140de7cd3a14a,single_product_promo,single_02_tomme_packshot.jpg,allowed_with_attribution_and_share_alike,missbutterflies,missbutterflies — Packshot Tomme du Berry — CC BY-SA 2.0 — via Wikimedia Commons,Attribution and ShareAlike required; retargeted outputs are modifications,true,960,540
ecom-01,"File:SPAR kolonial mat varehandel hyller (Supermarket interior GROCERY store aisle shelves) Frokostblandinger gryn müsli Axa frukt energi 4-korn blåbær (cereals muesli) etc Tjøme NORWAY 2023-08-31 IMG 1095.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/SPAR_kolonial_mat_varehandel_hyller_%28Supermarket_interior_GROCERY_store_aisle_shelves%29_Frokostblandinger_gryn_m%C3%BCsli_Axa_frukt_energi_4-korn_bl%C3%A5b%C3%A6r_%28cereals_muesli%29_etc_Tj%C3%B8me_NORWAY_2023-08-31_IMG_1095.jpg/960px-thumbnail.jpg,"https://commons.wikimedia.org/wiki/File:SPAR_kolonial_mat_varehandel_hyller_(Supermarket_interior_GROCERY_store_aisle_shelves)_Frokostblandinger_gryn_m%C3%BCsli_Axa_frukt_energi_4-korn_bl%C3%A5b%C3%A6r_(cereals_muesli)_etc_Tj%C3%B8me_NORWAY_2023-08-31_IMG_1095.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,efc5aca7f478de27acbaa91dee9cd71b5a208e559bfbbd74f2ab0cc3a749a2cd,multi_product_commercial,ecom_01_spar_cereal_shelf.jpg,allowed_with_attribution_and_share_alike,Wolfmann,Wolfmann — SPAR grocery shelves — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant trademark or endorsement rights; local algorithm Smoke only,true,960,720
ecom-02,"File:Electronic shelf labels on spice products in Adcoops supermarket, United Arab Emirates.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Electronic_shelf_labels_on_spice_products_in_Adcoops_supermarket%2C_United_Arab_Emirates.jpg/960px-Electronic_shelf_labels_on_spice_products_in_Adcoops_supermarket%2C_United_Arab_Emirates.jpg,"https://commons.wikimedia.org/wiki/File:Electronic_shelf_labels_on_spice_products_in_Adcoops_supermarket,_United_Arab_Emirates.jpg",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-08-10,b7802d91d80ba9b5ee01b3eb636bff37cb5546b301fb21b6ce9e7a5c92ad3eba,multi_product_commercial,ecom_02_adcoops_spice_esl.jpg,allowed_with_attribution,Maheshod98,Maheshod98 — Electronic shelf labels on spice products — CC BY 4.0 — via Wikimedia Commons,Photography license does not grant trademark or endorsement rights; local algorithm Smoke only,true,960,1280
people-01,File:People Walking on Torrance Beach.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/People_Walking_on_Torrance_Beach.jpg/960px-People_Walking_on_Torrance_Beach.jpg,https://commons.wikimedia.org/wiki/File:People_Walking_on_Torrance_Beach.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,aede5bf6ff8dd16beb8422b989d2da8a5cce077e09f5e8ceddf98a1ab9537a0e,multi_person,people_01_torrance_beach.jpg,allowed_with_attribution_and_share_alike,DylanMoz49,DylanMoz49 — People Walking on Torrance Beach — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant personality or endorsement rights; no identity inference,true,960,720
people-02,File:Group of people and children at a picnic (AM 86638-1).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Group_of_people_and_children_at_a_picnic_%28AM_86638-1%29.jpg/960px-Group_of_people_and_children_at_a_picnic_%28AM_86638-1%29.jpg,https://commons.wikimedia.org/wiki/File:Group_of_people_and_children_at_a_picnic_(AM_86638-1).jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-08-10,9ebd03696fc817d3fc27b81341bbe37f89cba538b6d6cb0a1c351c9548d5df0d,multi_person,people_02_auckland_picnic_1938.jpg,allowed_with_attribution,Tudor Washington Collins,Auckland Museum — Tudor Washington Collins — Group at a picnic (1938) — CC BY 4.0 — via Wikimedia Commons,Photography license does not grant personality or endorsement rights; no identity inference,true,960,715
portrait-01,File:Man classic portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Man_classic_portrait.jpg/960px-Man_classic_portrait.jpg,https://commons.wikimedia.org/wiki/File:Man_classic_portrait.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,e3c9828bb85b15bdc7275a11923139255b9dd3fdfebc22ea9007010a16c6cfcd,portrait,portrait_01_man_classic.jpg,allowed_with_attribution_and_share_alike,Viktoria Borodinova,Viktoria Borodinova — Man classic portrait — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant personality or endorsement rights; no identity inference,true,960,1444
structure-01,File:Hussaini Suspension Bridge.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Hussaini_Suspension_Bridge.jpg/960px-Hussaini_Suspension_Bridge.jpg,https://commons.wikimedia.org/wiki/File:Hussaini_Suspension_Bridge.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,6b604bd104ddd5bc5ec44ece400f805c6871e328b68792248b966693d8d0d47a,landscape_architecture,structure_01_hussaini_bridge.jpg,allowed_with_attribution_and_share_alike,Taseer Beyg,Taseer Beyg — Hussaini Suspension Bridge — CC BY-SA 4.0 — via Wikimedia Commons,Attribution and ShareAlike required; retargeted outputs are modifications,true,960,1280
hard-01,File:Shibuya Crossing in Tokyo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Shibuya_Crossing_in_Tokyo.jpg/960px-Shibuya_Crossing_in_Tokyo.jpg,https://commons.wikimedia.org/wiki/File:Shibuya_Crossing_in_Tokyo.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,5419c1ff1ae6d5340a99bc7e598ba1cc37646c2b69a87aeed5c8d7d403b4d1d2,complex_mixed,hard_01_shibuya_crossing_night.jpg,allowed_with_attribution_and_share_alike,Christophe95,Christophe95 — Shibuya Crossing in Tokyo — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant trademark/personality/advertising rights; local algorithm Smoke only,true,960,720
hard-02,File:Krabi Walking Street.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Krabi_Walking_Street.jpg/960px-Krabi_Walking_Street.jpg,https://commons.wikimedia.org/wiki/File:Krabi_Walking_Street.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-08-10,f37a8166474f17ab55c3512cc6ad110a841d7aa409486aa2a6b2d60eb51295ba,complex_mixed,hard_02_krabi_walking_street.jpg,allowed_with_attribution_and_share_alike,Christophe95,Christophe95 — Krabi Walking Street — CC BY-SA 4.0 — via Wikimedia Commons,Photography license does not grant trademark/personality/advertising rights; local algorithm Smoke only,true,960,720
